2025-10-24 15:03:07,521 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=7872f0f5bdc18d08 ch=0
2025-10-24 15:03:08,002 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=7872f0f5bdc18d08 ch=1
2025-10-24 15:03:08,484 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=7872f0f5bdc18d08 ch=2
2025-10-24 15:03:08,967 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=7872f0f5bdc18d08 ch=3
2025-10-24 15:03:09,399 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=7872f0f5bdc18d08 ch=4
2025-10-24 15:03:09,645 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=7872f0f5bdc18d08 ch=5
2025-10-24 15:03:09,885 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=7872f0f5bdc18d08 ch=5
2025-10-24 15:03:10,130 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=7872f0f5bdc18d08 ch=6
2025-10-24 15:03:10,365 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=7872f0f5bdc18d08 ch=6
2025-10-24 15:03:10,606 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=7872f0f5bdc18d08 ch=7
2025-10-24 15:03:10,845 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=7872f0f5bdc18d08 ch=7
2025-10-24 15:03:11,885 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b7044494 ch=0
2025-10-24 15:03:12,368 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b7044494 ch=1
2025-10-24 15:03:12,844 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b7044494 ch=2
2025-10-24 15:03:13,321 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b7044494 ch=3
2025-10-24 15:03:13,805 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b7044494 ch=4
2025-10-24 15:03:14,039 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044494 ch=5
2025-10-24 15:03:14,280 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044494 ch=5
2025-10-24 15:03:14,525 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044494 ch=6
2025-10-24 15:03:14,760 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044494 ch=6
2025-10-24 15:03:15,010 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044494 ch=7
2025-10-24 15:03:15,258 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044494 ch=7
2025-10-24 15:03:17,570 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=7872f0f5bdc19114 ch=0
2025-10-24 15:03:18,040 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=7872f0f5bdc19114 ch=1
2025-10-24 15:03:18,531 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=7872f0f5bdc19114 ch=2
2025-10-24 15:03:18,966 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=7872f0f5bdc19114 ch=3
2025-10-24 15:03:19,402 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=7872f0f5bdc19114 ch=4
2025-10-24 15:03:19,640 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=7872f0f5bdc19114 ch=5
2025-10-24 15:03:19,885 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=7872f0f5bdc19114 ch=5
