ApartmentNo,Address,HWMETERNMI,HWMETERNO,NEWHWMETERNMI,LoRaWANDevEUI,Channel,Building,Level,Side,Offset_usage,Phototakendate,litter_factor
1508,"21 Marquet Street, Rhodes NSW 2138",W4WR01V306,9EMTA619025579,X4H3003442,78724831B7044508,2,B,level 15,B,79580,30/7/2024,
1509,"21 Marquet Street, Rhodes NSW 2138",W4WR01V307,9EMTA619025582,X4H3003443,78724831B7044508,3,B,level 15,B,100264,30/7/2024,
1510,"21 Marquet Street, Rhodes NSW 2138",W4WR01V308,9EMTA619025583,X4H3003444,78724831B7044508,4,B,level 15,B,142487,30/7/2024,
1601,"21 Marquet Street, Rhodes NSW 2138",W4WR01V389,9EMTA619025626,X4H3003445,78724831B704465C,0,B,level 16,A,58461,30/7/2024,
1602,"21 Marquet Street, Rhodes NSW 2138",W4WR01V390,9EMTA619025635,X4H3003446,78724831B704465C,1,B,level 16,A,81982,30/7/2024,
1603,"21 Marquet Street, Rhodes NSW 2138",W4WR01V391,9EMTA619025627,X4H3003447,78724831B704465C,2,B,level 16,A,148207,30/7/2024,
1604,"21 Marquet Street, Rhodes NSW 2138",W4WR01V392,9EMTA619025634,X4H3003448,78724831B704465C,3,B,level 16,A,144323,30/7/2024,
1605,"21 Marquet Street, Rhodes NSW 2138",W4WR01V393,9EMTA619025628,X4H3003449,78724831B704465C,4,B,level 16,A,97597,30/7/2024,
1606,"21 Marquet Street, Rhodes NSW 2138",W4WR01V394,9EMTA619025570,X4H3003450,7872F0F5BDC191C0,0,B,level 16,B,0,13/12/2024,
1607,"21 Marquet Street, Rhodes NSW 2138",W4WR01V395,9EMTA619025574,X4H3003451,7872F0F5BDC191C0,1,B,level 16,B,24189,30/7/2024,
1608,"21 Marquet Street, Rhodes NSW 2138",W4WR01V396,9EMTA619025571,X4H3003452,7872F0F5BDC191C0,2,B,level 16,B,130873,30/7/2024,
1609,"21 Marquet Street, Rhodes NSW 2138",W4WR01V397,9EMTA619025573,X4H3003453,7872F0F5BDC191C0,3,B,level 16,B,104291,30/7/2024,
1610,"21 Marquet Street, Rhodes NSW 2138",W4WR01V398,9EMTA619025575,X4H3003454,7872F0F5BDC191C0,4,B,level 16,B,39615,30/7/2024,
1701,"21 Marquet Street, Rhodes NSW 2138",W4WR01V399,9EMTA619025698,X4H3003455,7872F0F5BDC190CC,0,B,level 17,A,90256,30/7/2024,
1702,"21 Marquet Street, Rhodes NSW 2138",W4WR01V400,9EMTA619025699,X4H3003456,7872F0F5BDC190CC,1,B,level 17,A,159118,30/7/2024,
1703,"21 Marquet Street, Rhodes NSW 2138",W4WR01V401,9EMTA619025702,X4H3003457,7872F0F5BDC190CC,2,B,level 17,A,205424,30/7/2024,
1704,"21 Marquet Street, Rhodes NSW 2138",W4WR01V402,9EMTA619025701,X4H3003458,7872F0F5BDC190CC,3,B,level 17,A,121449,30/7/2024,
1705,"21 Marquet Street, Rhodes NSW 2138",W4WR01V403,9EMTA619025700,X4H3003459,7872F0F5BDC190CC,4,B,level 17,A,114846,30/7/2024,
1706,"21 Marquet Street, Rhodes NSW 2138",W4WR01V404,9EMTA619025564,X4H3003460,78724831B704467C,0,B,level 17,B,87386,30/7/2024,
1707,"21 Marquet Street, Rhodes NSW 2138",W4WR01V405,9EMTA619025557,X4H3003461,78724831B704467C,1,B,level 17,B,103850,30/7/2024,
1708,"21 Marquet Street, Rhodes NSW 2138",W4WR01V406,9EMTA619025565,X4H3003462,78724831B704467C,2,B,level 17,B,135982,30/7/2024,
1709,"21 Marquet Street, Rhodes NSW 2138",W4WR01V407,9EMTA619025556,X4H3003463,78724831B704467C,3,B,level 17,B,135297,30/7/2024,
1710,"21 Marquet Street, Rhodes NSW 2138",W4WR01V408,9EMTA619025563,X4H3003464,78724831B704467C,4,B,level 17,B,34698,30/7/2024,
1801,"21 Marquet Street, Rhodes NSW 2138",W4WR01V409,9EMTA619025623,X4H3003465,78724831B7044518,0,B,level 18,A,106351,30/7/2024,
1802,"21 Marquet Street, Rhodes NSW 2138",W4WR01V410,9EMTA619025622,X4H3003466,78724831B7044518,1,B,level 18,A,87302,30/7/2024,
1803,"21 Marquet Street, Rhodes NSW 2138",W4WR01V411,9EMTA619025625,X4H3003467,78724831B7044518,2,B,level 18,A,35268,30/7/2024,
1804,"21 Marquet Street, Rhodes NSW 2138",W4WR01V412,9EMTA619025621,X4H3003468,78724831B7044518,3,B,level 18,A,153924,30/7/2024,
1805,"21 Marquet Street, Rhodes NSW 2138",W4WR01V413,9EMTA619025624,X4H3003469,78724831B7044518,4,B,level 18,A,80415,30/7/2024,
1806,"21 Marquet Street, Rhodes NSW 2138",W4WR01V414,9EMTA619025572,X4H3003470,78724831B7044490,0,B,level 18,B,80462,30/7/2024,
1807,"21 Marquet Street, Rhodes NSW 2138",W4WR01V415,9EMTA619025568,X4H3003471,78724831B7044490,1,B,level 18,B,135414,30/7/2024,
1808,"21 Marquet Street, Rhodes NSW 2138",W4WR01V416,9EMTA619025566,X4H3003472,78724831B7044490,2,B,level 18,B,245318,30/7/2024,
1809,"21 Marquet Street, Rhodes NSW 2138",W4WR01V417,9EMTA619025567,X4H3003473,78724831B7044490,3,B,level 18,B,71755,30/7/2024,
1810,"21 Marquet Street, Rhodes NSW 2138",W4WR01V418,9EMTA619025569,X4H3003474,78724831B7044490,4,B,level 18,B,72076,30/7/2024,
1901,"21 Marquet Street, Rhodes NSW 2138",W4WR01V419,9EMTA619025584,X4H3003475,7872F0F5BDC18D1C,0,B,level 19,A,36329,29/7/2024,
1902,"21 Marquet Street, Rhodes NSW 2138",W4WR01V420,9EMTA619025576,X4H3003476,7872F0F5BDC18D1C,1,B,level 19,A,159274,29/7/2024,
1903,"21 Marquet Street, Rhodes NSW 2138",W4WR01V421,9EMTA619025585,X4H3003477,7872F0F5BDC18D1C,2,B,level 19,A,0,13/12/2024,
1904,"21 Marquet Street, Rhodes NSW 2138",W4WR01V422,9EMTA619025577,X4H3003478,7872F0F5BDC18D1C,3,B,level 19,A,111989,29/7/2024,
1905,"21 Marquet Street, Rhodes NSW 2138",W4WR01V423,9EMTA619025511,X4H3003479,7872F0F5BDC18D1C,4,B,level 19,A,87034,29/7/2024,
1906,"21 Marquet Street, Rhodes NSW 2138",W4WR01V424,9EMTA619025705,X4H3003480,78724831B70447B0,0,B,level 19,B,62254,30/7/2024,
1907,"21 Marquet Street, Rhodes NSW 2138",W4WR01V425,9EMTA619025703,X4H3003481,78724831B70447B0,1,B,level 19,B,189789,30/7/2024,
1908,"21 Marquet Street, Rhodes NSW 2138",W4WR01V426,9EMTA619025704,X4H3003482,78724831B70447B0,2,B,level 19,B,137247,30/7/2024,
1909,"21 Marquet Street, Rhodes NSW 2138",W4WR01V427,9EMTA619025697,X4H3003483,78724831B70447B0,3,B,level 19,B,164937,30/7/2024,
1910,"21 Marquet Street, Rhodes NSW 2138",W4WR01V428,9EMTA619025696,X4H3003484,78724831B70447B0,4,B,level 19,B,67615,30/7/2024,
2001,"21 Marquet Street, Rhodes NSW 2138",W4WR01V433,9EMTA619025730,X4H3003485,7872F0F5BDC1912C,0,B,level 20,A,61743,30/7/2024,
2002,"21 Marquet Street, Rhodes NSW 2138",W4WR01V434,9EMTA619025726,X4H3003486,7872F0F5BDC1912C,1,B,level 20,A,113095,30/7/2024,
2003,"21 Marquet Street, Rhodes NSW 2138",W4WR01V435,9EMTA619025728,X4H3003487,7872F0F5BDC1912C,2,B,level 20,A,199745,30/7/2024,
2004,"21 Marquet Street, Rhodes NSW 2138",W4WR01V436,9EMTA619025729,X4H3003488,7872F0F5BDC1912C,3,B,level 20,A,130955,30/7/2024,
2005,"21 Marquet Street, Rhodes NSW 2138",W4WR01V437,9EMTA619025727,X4H3003489,7872F0F5BDC1912C,4,B,level 20,A,139008,30/7/2024,
2006,"21 Marquet Street, Rhodes NSW 2138",W4WR01V438,9EMTA619025731,X4H3003490,78724831B70447CC,0,B,level 20,B,30332,30/7/2024,
2007,"21 Marquet Street, Rhodes NSW 2138",W4WR01V439,9EMTA619025732,X4H3003491,78724831B70447CC,1,B,level 20,B,120951,30/7/2024,
2008,"21 Marquet Street, Rhodes NSW 2138",W4WR01V440,9EMTA619025735,X4H3003492,78724831B70447CC,2,B,level 20,B,136724,30/7/2024,
2009,"21 Marquet Street, Rhodes NSW 2138",W4WR01V441,9EMTA619025734,X4H3003493,78724831B70447CC,3,B,level 20,B,360242,30/7/2024,
2010,"21 Marquet Street, Rhodes NSW 2138",W4WR01V442,9EMTA619025733,X4H3003494,78724831B70447CC,4,B,level 20,B,101772,30/7/2024,
2101,"21 Marquet Street, Rhodes NSW 2138",W4WR01V443,9EMTA619025717,X4H3003495,78724831B7044528,0,B,level 21,A,34445,30/7/2024,
2102,"21 Marquet Street, Rhodes NSW 2138",W4WR01V444,9EMTA619025722,X4H3003496,78724831B7044528,1,B,level 21,A,163706,30/7/2024,
2103,"21 Marquet Street, Rhodes NSW 2138",W4WR01V445,9EMTA619025723,X4H3003497,78724831B7044528,2,B,level 21,A,123506,30/7/2024,
2104,"21 Marquet Street, Rhodes NSW 2138",W4WR01V446,9EMTA619025721,X4H3003498,78724831B7044528,3,B,level 21,A,209038,30/7/2024,
2105,"21 Marquet Street, Rhodes NSW 2138",W4WR01V447,9EMTA619025720,X4H3003499,78724831B7044528,4,B,level 21,A,56626,30/7/2024,
2106,"21 Marquet Street, Rhodes NSW 2138",W4WR01V448,9EMTA619025725,X4H3003500,7872F0F5BDC191AC,0,B,level 21,B,141508,30/7/2024,
2107,"21 Marquet Street, Rhodes NSW 2138",W4WR01V449,9EMTA619025724,X4H3003501,7872F0F5BDC191AC,1,B,level 21,B,123990,30/7/2024,
2108,"21 Marquet Street, Rhodes NSW 2138",W4WR01V450,9EMTA619025719,X4H3003502,7872F0F5BDC191AC,2,B,level 21,B,168135,30/7/2024,
2109,"21 Marquet Street, Rhodes NSW 2138",W4WR01V451,9EMTA619025718,X4H3003503,7872F0F5BDC191AC,3,B,level 21,B,142304,30/7/2024,
2110,"21 Marquet Street, Rhodes NSW 2138",W4WR01V452,9EMTA619025716,X4H3003504,7872F0F5BDC191AC,4,B,level 21,B,128639,30/7/2024,
2201,"21 Marquet Street, Rhodes NSW 2138",W4WR01V453,9EMTA619025679,X4H3003505,78724831B70444D0,0,B,level 22,A,777,31/7/2024,
2202,"21 Marquet Street, Rhodes NSW 2138",W4WR01V454,9EMTA619025677,X4H3003506,78724831B70444D0,1,B,level 22,A,80841,31/7/2024,
2203,"21 Marquet Street, Rhodes NSW 2138",W4WR01V455,9EMTA619025684,X4H3003507,78724831B70444D0,2,B,level 22,A,138365,31/7/2024,
2204,"21 Marquet Street, Rhodes NSW 2138",W4WR01V456,9EMTA619025685,X4H3003508,78724831B70444D0,3,B,level 22,A,308617,31/7/2024,
2205,"21 Marquet Street, Rhodes NSW 2138",W4WR01V457,9EMTA619025738,X4H3003509,78724831B70444D0,4,B,level 22,A,127555,31/7/2024,
2206,"21 Marquet Street, Rhodes NSW 2138",W4WR01V458,9EMTA619025683,X4H3003510,7872F0F5BDC19084,0,B,level 22,B,99449,1/8/2024,
2207,"21 Marquet Street, Rhodes NSW 2138",W4WR01V459,9EMTA619025682,X4H3003511,7872F0F5BDC19084,1,B,level 22,B,80258,1/8/2024,
2208,"21 Marquet Street, Rhodes NSW 2138",W4WR01V460,9EMTA619025681,X4H3003512,7872F0F5BDC19084,2,B,level 22,B,109779,1/8/2024,
2209,"21 Marquet Street, Rhodes NSW 2138",W4WR01V461,9EMTA619025676,X4H3003513,7872F0F5BDC19084,3,B,level 22,B,105134,1/8/2024,
2210,"21 Marquet Street, Rhodes NSW 2138",W4WR01V462,9EMTA619025678,X4H3003514,7872F0F5BDC19084,4,B,level 22,B,51034,1/8/2024,
2301,"21 Marquet Street, Rhodes NSW 2138",W4WR01V463,9EMTA619025558,X4H3003515,7872F0F5BDC192AC,0,B,level 23,A,6891,31/7/2024,
2302,"21 Marquet Street, Rhodes NSW 2138",W4WR01V464,9EMTA619025562,X4H3003516,7872F0F5BDC192AC,1,B,level 23,A,132820,31/7/2024,
2303,"21 Marquet Street, Rhodes NSW 2138",W4WR01V465,9EMTA619025559,X4H3003517,7872F0F5BDC192AC,2,B,level 23,A,31199,31/7/2024,
2304,"21 Marquet Street, Rhodes NSW 2138",W4WR01V466,9EMTA619025560,X4H3003518,7872F0F5BDC192AC,3,B,level 23,A,0,13/12/2024,
2305,"21 Marquet Street, Rhodes NSW 2138",W4WR01V467,9EMTA619025561,X4H3003519,7872F0F5BDC192AC,4,B,level 23,A,118859,31/7/2024,
2306,"21 Marquet Street, Rhodes NSW 2138",W4WR01V468,9EMTA619025691,X4H3003520,78724831B704449C,0,B,level 23,B,116382,31/7/2024,
2307,"21 Marquet Street, Rhodes NSW 2138",W4WR01V469,9EMTA619025692,X4H3003521,78724831B704449C,1,B,level 23,B,300168,31/7/2024,
2308,"21 Marquet Street, Rhodes NSW 2138",W4WR01V470,9EMTA619025695,X4H3003522,78724831B704449C,2,B,level 23,B,463,31/7/2024,
2309,"21 Marquet Street, Rhodes NSW 2138",W4WR01V471,9EMTA619025690,X4H3003523,78724831B704449C,3,B,level 23,B,87884,31/7/2024,
2310,"21 Marquet Street, Rhodes NSW 2138",W4WR01V472,9EMTA619025689,X4H3003524,78724831B704449C,4,B,level 23,B,186498,31/7/2024,
2401,"21 Marquet Street, Rhodes NSW 2138",W4WR01V523,9EMTA619025754,X4H3003525,7872F0F5BDC18E08,0,B,level 24,A,127459,31/7/2024,
2402,"21 Marquet Street, Rhodes NSW 2138",W4WR01V524,9EMTA619025752,X4H3003526,7872F0F5BDC18E08,1,B,level 24,A,168977,31/7/2024,
2403,"21 Marquet Street, Rhodes NSW 2138",W4WR01V525,9EMTA619025746,X4H3003527,7872F0F5BDC18E08,2,B,level 24,A,127203,31/7/2024,
2404,"21 Marquet Street, Rhodes NSW 2138",W4WR01V526,9EMTA619025755,X4H3003528,7872F0F5BDC18E08,3,B,level 24,A,138243,31/7/2024,
2405,"21 Marquet Street, Rhodes NSW 2138",W4WR01V527,9EMTA619025747,X4H3003529,7872F0F5BDC18E08,4,B,level 24,A,108110,31/7/2024,
2406,"21 Marquet Street, Rhodes NSW 2138",W4WR01V528,9EMTA619025753,X4H3003530,7872F0F5BDC19008,0,B,level 24,B,82189,31/7/2024,
2407,"21 Marquet Street, Rhodes NSW 2138",W4WR01V529,9EMTA619025749,X4H3003531,7872F0F5BDC19008,1,B,level 24,B,81092,31/7/2024,
2408,"21 Marquet Street, Rhodes NSW 2138",W4WR01V530,9EMTA619025748,X4H3003532,7872F0F5BDC19008,2,B,level 24,B,141987,31/7/2024,
2409,"21 Marquet Street, Rhodes NSW 2138",W4WR01V531,9EMTA619025751,X4H3003533,7872F0F5BDC19008,3,B,level 24,B,105988,31/7/2024,
2410,"21 Marquet Street, Rhodes NSW 2138",W4WR01V532,9EMTA619025750,X4H3003534,7872F0F5BDC19008,4,B,level 24,B,74384,31/7/2024,
2501,"21 Marquet Street, Rhodes NSW 2138",W4WR01V533,9EMTA619025688,X4H3003535,78724831B7044608,0,B,level 25,A,34584,1/8/2024,
2502,"21 Marquet Street, Rhodes NSW 2138",W4WR01V534,9EMTA619025694,X4H3003536,78724831B7044608,1,B,level 25,A,248623,1/8/2024,
2503,"21 Marquet Street, Rhodes NSW 2138",W4WR01V535,9EMTA619025686,X4H3003537,78724831B7044608,2,B,level 25,A,122210,1/8/2024,
2504,"21 Marquet Street, Rhodes NSW 2138",W4WR01V536,9EMTA619025693,X4H3003538,78724831B7044608,3,B,level 25,A,187856,1/8/2024,
2505,"21 Marquet Street, Rhodes NSW 2138",W4WR01V537,9EMTA619025687,X4H3003539,78724831B7044608,4,B,level 25,A,739,1/8/2024,
2506,"21 Marquet Street, Rhodes NSW 2138",W4WR01V538,9EMTA620013262,X4H3003540,78724831B70445E0,0,B,level 25,B,57448,1/8/2024,
2507,"21 Marquet Street, Rhodes NSW 2138",W4WR01V539,9EMTA620013266,X4H3003541,78724831B70445E0,1,B,level 25,B,52111,1/8/2024,
2508,"21 Marquet Street, Rhodes NSW 2138",W4WR01V540,9EMTA620013263,X4H3003542,78724831B70445E0,2,B,level 25,B,95332,1/8/2024,
2509,"21 Marquet Street, Rhodes NSW 2138",W4WR01V541,9EMTA620013267,X4H3003543,78724831B70445E0,3,B,level 25,B,67345,1/8/2024,
2510,"21 Marquet Street, Rhodes NSW 2138",W4WR01V542,9EMTA620013264,X4H3003544,78724831B70445E0,4,B,level 25,B,59290,1/8/2024,
2601,"21 Marquet Street, Rhodes NSW 2138",W4WR01V545,9EMTA620013265,X4H3003545,7872F0F5BDC191D0,0,B,level 26,A,129364,5/8/2024,
2602,"21 Marquet Street, Rhodes NSW 2138",W4WR01V546,9EMTA620013261,X4H3003546,7872F0F5BDC191D0,1,B,level 26,A,122493,5/8/2024,
2603,"21 Marquet Street, Rhodes NSW 2138",W4WR01V547,9EMTA620017891,X4H3003547,7872F0F5BDC19228,0,B,level 26,B,68832,30/7/2024,
2604,"21 Marquet Street, Rhodes NSW 2138",W4WR01V548,9EMTA620017894,X4H3003548,7872F0F5BDC19228,1,B,level 26,B,104893,30/7/2024,
2605,"21 Marquet Street, Rhodes NSW 2138",W4WR01V549,9EMTA620017895,X4H3003549,7872F0F5BDC19228,2,B,level 26,B,149294,30/7/2024,
2701,"21 Marquet Street, Rhodes NSW 2138",W4WR01V550,9EMTA620034659,X4H3003550,78724831B7044568,0,B,level 27,A,128368,5/8/2024,
2702,"21 Marquet Street, Rhodes NSW 2138",W4WR01V551,9EMTA620034658,X4H3003551,78724831B7044568,1,B,level 27,A,50031,5/8/2024,
2703,"21 Marquet Street, Rhodes NSW 2138",W4WR01V552,9EMTA620034654,X4H3003552,78724831B70444B0,0,B,level 27,B,79146,30/7/2024,
2704,"21 Marquet Street, Rhodes NSW 2138",W4WR01V553,9EMTA620034661,X4H3003553,78724831B70444B0,1,B,level 27,B,62395,30/7/2024,
2705,"21 Marquet Street, Rhodes NSW 2138",W4WR01V554,9EMTA620034656,X4H3003554,78724831B70444B0,2,B,level 27,B,74228,30/7/2024,
